iteration,user_23,user_55,user_324,user_64,user_432,user_2,user_543,user_99,user_5,user_321,groupDis,groupSat
1,0.6738046841613108,0.6342568463248124,0.6912060180843423,0.5342434399882133,0.5818616905082084,0.7419026017096759,0.8136841521452404,0.7875713298126161,0.7252412556254076,0.7672662997802165,0.08590016998137184,0.6951038318140044
2,0.47111720052065403,0.6665495069818125,0.7168386190351763,0.39200936799166136,0.22710521667753852,0.8444241949665805,0.8285196973936158,0.8294837783818726,0.6641498241676224,0.7520418940493269,0.1983621719384194,0.6392239300165861
3,0.5060971027597333,0.6845471101051949,0.6895976040472476,0.4560717843373153,0.10190313020775402,0.5300743610910725,0.8177346201807421,0.8280502453067285,0.6936737375196642,0.8226818777813177,0.2130199859159418,0.6130431573336771
4,0.45413657495604687,0.6629707658381777,0.6926055970280875,0.26254222349731116,0.16645836649809911,0.7390791132241323,0.8136877847070324,0.8049753962739418,0.7463270695458617,0.6358523314278787,0.21571395164552667,0.5978635222996569
5,0.6330805056884673,0.6517646133384859,0.6496217317905612,0.32836619934018024,0.25687598255295013,0.5788935838505967,0.5481944662200436,0.7614606838492403,0.7571352461880367,0.7262170201951054,0.16321809157554293,0.5891610033013668
6,0.3504416082048612,0.6152089185730254,0.7200535209974377,0.2241136948233296,0.23253953714950104,0.6582234607577875,0.7438857938400603,0.8508716311364448,0.6718870765254111,0.7320753000270755,0.21420890130141992,0.5799300542034933
7,0.40693031995256157,0.6466551000906718,0.6668353625140233,0.21130220857776813,0.308334497221586,0.548783816316536,0.710885477131397,0.7712507587047939,0.6032216762541178,0.8123821039678241,0.18963470760041057,0.568658132073128
8,0.30455664480269984,0.6590175212899054,0.6912287979769008,0.30349022321207286,0.1609741998652602,0.6865147940698451,0.7025887059658523,0.7251274478254702,0.6762036185718491,0.6182906358826414,0.19931954447889513,0.5527992589462497
9,0.6185179859434317,0.5756872684416192,0.5629812155343524,0.2267868160650253,0.07299949777338058,0.5354194428335208,0.824357130060083,0.7220732282774444,0.6889484024940906,0.6481746803076093,0.21714050570524526,0.5475945667730557
10,0.22746685782015774,0.6485577264065939,0.6748673183650352,0.09685646082418621,0.22843241021109054,0.6345464077346994,0.8259946176079539,0.8216342391254848,0.6452128390531305,0.631532059692915,0.24707811292121099,0.5435100936841248
11,0.3144306502876554,0.6664822710345271,0.6848029254926487,0.3183364394870296,0.26581755433703047,0.39985687637438716,0.7701177693924022,0.8122951726151574,0.4748838025206967,0.664646935730101,0.19457481755282094,0.5371670397271635
12,0.4115745973032619,0.6242934613868102,0.649899531854246,0.17367920355284433,0.08255331384805793,0.621362705346039,0.8295553339923007,0.7038714006913724,0.7146012040145784,0.5051370416044159,0.22966171600630733,0.5316527793593927
13,0.31602102397720444,0.7042668988756592,0.6668811123343036,0.2724836548147891,0.0758063384738849,0.40679909399941916,0.725869339595248,0.7811854852362695,0.7143933414248871,0.5884905513529779,0.22832649594851473,0.5252196840084642
14,0.2647267467509993,0.6165581744383534,0.5743048258571567,0.30948195657827593,0.38033444711535175,0.521216135228257,0.5782888449210468,0.7009005721744406,0.6899714272798363,0.5781425157239509,0.14478838819457693,0.521392564606767
15,0.12244438793707696,0.6269760677712581,0.6531398369618131,0.2193392140504868,0.14724991093499817,0.6290375141494756,0.6903954343111288,0.7773437458497113,0.5616317165278922,0.7181153655759835,0.23757050360230605,0.5145673194069825
16,0.22828341042749636,0.6235836838403744,0.6841900569571363,0.07528638722801917,0.0,0.5732223406925258,0.8028840664677015,0.8084110337441759,0.6799495186312545,0.643481099487955,0.282342647007296,0.511929159747664
17,0.3291099500959017,0.6495071286440977,0.6018413099915396,0.3067278314030068,0.0,0.35168612738443544,0.7342901771719547,0.7834230596556518,0.6000222685640523,0.7004193196225356,0.23586993131101194,0.5057027172533176
18,0.30640848184412295,0.5946660294774236,0.5484477998134425,0.23716790736310317,0.1709068571224607,0.7127648077842971,0.764041532736217,0.6878916056774746,0.5605780852364806,0.40643288651390114,0.19719854229671963,0.4989305993568923
19,0.2792470235794695,0.6287821271428228,0.555109066234142,0.060930474306783736,0.17553230586544546,0.5955974881228646,0.7960775700324165,0.6232295956077514,0.7135903408766071,0.5478404314002523,0.22940205544966683,0.49759364231685554
