iteration,user_34,user_22,user_75,user_64,user_4,groupDis,groupSat
1,0.6724491141480198,0.5150787251697246,0.6836272133162089,0.629180607498564,0.8662201375535522,0.35114141238382757,0.6733111595372139
2,0.5964991806384411,0.49899892896098924,0.4523551142421586,0.5224979291672908,0.628210370627799,0.17585525638564048,0.5397123047273358
3,0.6794256188672757,0.35961387420952184,0.6148145731973248,0.6862253286632031,0.4937745823400394,0.3266114544536812,0.5667707954554729
4,0.6849643939359208,0.6239193792428149,0.545509892897263,0.49036442451494305,0.358566666031579,0.3263977279043418,0.5406649513245042
5,0.7098721705420098,0.5219701413197294,0.5836457258500485,0.4938468700494059,0.3301394323158108,0.379732738226199,0.5278948680154009
6,0.6233184520231775,0.47676869898413515,0.49996991255756107,0.4699532329350658,0.5284861414960416,0.15336521908811168,0.5196992875991963
7,0.6715738614290433,0.636633277324641,0.5454199028234131,0.30274304849964395,0.4138416832069214,0.36883081292939934,0.5140423546567325
8,0.62309026544186,0.4277681439375669,0.6521419012540486,0.4958082976812142,0.19073248810394527,0.4614094131501033,0.47790821928372706
9,0.5996707522176564,0.4252197405491732,0.6456897492538518,0.38740532498490304,0.28947808934022057,0.35621165991363124,0.469492731269161
10,0.47494522888839985,0.3298528736693871,0.5786423610430956,0.4350686196659123,0.4899933475844495,0.24878948737370854,0.46170048617024884
11,0.24664664245844006,0.08574488854334487,0.9064884667297989,0.9697980189489319,0.0,0.9697980189489319,0.4417356033361031
12,0.5380591931174442,0.5496692744857392,0.724396125647534,0.22751178505295916,0.31301131563437823,0.4968843405945748,0.47052953878761095
13,0.624438910486433,0.5267413541631638,0.6038158042302791,0.43709725016006895,0.08363527322450647,0.5408036372619265,0.45514571845289015
14,0.5364250739468399,0.6514699141934385,0.5753804075823297,0.17261074927229664,0.38239844988790656,0.47885916492114183,0.46365691897656225
15,0.6211843306470389,0.4199395001059652,0.6326837951731115,0.20660718773352663,0.3841512151662117,0.42607660743958486,0.4529132057651708
16,0.5830154992564426,0.4484281875720336,0.6608383946070119,0.3867018398588617,0.1183110644612199,0.542527330145792,0.4394589971511139
17,0.7176171576298599,0.6267678903557531,0.3960178559252479,0.2555208835203122,0.2301793075512258,0.4874378500786341,0.4452206189964798
18,0.23475858001091282,0.24470182924733264,0.7972812374272762,0.8039691143851264,0.10172456237594739,0.702244552009179,0.43648706468931914
19,0.7690478169716697,0.516209579630739,0.5166740443336373,0.14540046436567888,0.2864974692830494,0.6236473526059908,0.44676587491695485
20,0.7174525155933048,0.5818295020091477,0.5769739749590913,0.16033803187391918,0.16505207701322575,0.5571144837193857,0.44032922028973787
21,0.6357429606848782,0.6433248164962726,0.6534084830101875,0.2316561880586779,0.0,0.6534084830101875,0.4328264896500033
22,0.5532790197682322,0.5772941544337695,0.6289875613388154,0.16479198805465717,0.2437031049623096,0.4641955732841582,0.4336111657115568
23,0.6012259000324776,0.5809997424631062,0.6413647992966636,0.14900632756464888,0.16095822175843028,0.4923584717320147,0.4267109982230653
24,0.6179488704431172,0.49654955036179843,0.6589341806749476,0.23529028684711806,0.08477289429849053,0.574161286376457,0.4186991565250944
25,0.5803561778741134,0.559408568401786,0.7272293588070874,0.20500889635406458,0.0,0.7272293588070874,0.41440060028741027
26,0.47111589040104346,0.45362225700653813,0.4928055650488403,0.4258584114469758,0.22261448762448174,0.27019107742435855,0.4132033223055759
27,0.5336606849634681,0.5672349389809318,0.7382236917695467,0.14273515620970478,0.08551793336175673,0.65270575840779,0.4134744810570816
28,0.26891866681196264,0.22017886527092417,0.7816560209961891,0.6647238123311402,0.08441613197510622,0.6972398890210829,0.4039786994770644
29,0.6383582843440173,0.4692258649680575,0.5694434873814535,0.17939801310412903,0.1899825439118351,0.45896027123988825,0.4092816387418985
30,0.47210478361324176,0.4692916615311232,0.5896125062357236,0.2676347159068034,0.23116084408201476,0.3584516621537088,0.40596090227378134
